                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.50296,                0.25564,                0.85482,                0.99694,                0.97792,                0.99333,                0.86939,                0.61696,                0.28859,                0.89646,                 0.0067,                 0.0067,                 0.0067
                    102,                0.50131,                0.25346,                0.85058,                0.99794,                0.96804,                0.99186,                0.86755,                 0.6125,                0.28619,                0.89339,               0.006667,               0.006667,               0.006667
                    103,                0.49512,                0.25054,                0.84722,                0.99189,                0.97712,                0.99298,                0.86928,                0.60832,                0.28232,                0.88803,               0.006634,               0.006634,               0.006634
                    104,                0.49999,                0.25037,                0.85117,                0.99554,                0.97802,                0.99373,                0.86784,                0.61053,                0.27186,                0.88964,               0.006601,               0.006601,               0.006601
                    105,                0.49429,                0.24887,                0.84846,                0.99797,                0.98016,                0.99377,                0.87016,                0.60415,                0.26981,                 0.8855,               0.006568,               0.006568,               0.006568
                    106,                0.49947,                0.24985,                0.85177,                0.99694,                0.97778,                0.99383,                0.87342,                0.60606,                0.26377,                0.88384,               0.006535,               0.006535,               0.006535
                    107,                0.49877,                0.25298,                 0.8493,                0.99127,                0.98202,                0.99353,                0.87252,                0.60889,                0.26614,                 0.8853,               0.006502,               0.006502,               0.006502
                    108,                0.49733,                  0.251,                0.85198,                 0.9891,                0.97502,                0.99302,                0.86455,                0.62111,                0.27754,                0.89117,               0.006469,               0.006469,               0.006469
                    109,                 0.4997,                0.24773,                0.85316,                0.99589,                0.96757,                0.99147,                0.86379,                0.62039,                0.27669,                0.89189,               0.006436,               0.006436,               0.006436
                    110,                0.49553,                0.24937,                0.85263,                0.99179,                 0.9658,                0.99218,                0.86579,                0.62311,                0.27749,                0.89747,               0.006403,               0.006403,               0.006403
                    111,                0.49507,                0.24655,                0.85044,                0.99388,                0.97301,                0.99308,                0.86913,                0.62048,                 0.2743,                0.89782,                0.00637,                0.00637,                0.00637
                    112,                0.49521,                0.24679,                0.84736,                0.99593,                0.97884,                0.99358,                0.86815,                0.62185,                  0.269,                0.89509,               0.006337,               0.006337,               0.006337
                    113,                0.49942,                0.24836,                 0.8526,                 0.9966,                0.97802,                0.99337,                0.86798,                0.62521,                 0.2699,                0.89637,               0.006304,               0.006304,               0.006304
                    114,                0.49897,                0.24883,                0.85234,                 0.9939,                0.97656,                0.99282,                0.86937,                0.61568,                0.26875,                0.88907,               0.006271,               0.006271,               0.006271
                    115,                0.49717,                0.24717,                0.84629,                0.98694,                 0.9815,                0.99321,                0.86987,                0.61639,                0.26295,                0.88599,               0.006238,               0.006238,               0.006238
                    116,                0.49472,                0.25005,                0.84817,                0.99589,                0.96874,                0.99291,                0.87067,                0.62101,                0.26507,                 0.8881,               0.006205,               0.006205,               0.006205
                    117,                0.50039,                0.25039,                0.84628,                0.99462,                0.96703,                0.99208,                0.86841,                 0.6196,                0.26805,                0.88761,               0.006172,               0.006172,               0.006172
                    118,                0.49458,                0.24669,                0.84931,                0.99074,                0.96195,                0.99061,                0.86631,                0.62067,                0.27191,                0.88876,               0.006139,               0.006139,               0.006139
                    119,                0.49344,                0.24605,                0.84574,                 0.9928,                0.96364,                0.99138,                 0.8668,                 0.6237,                0.27196,                0.88992,               0.006106,               0.006106,               0.006106
                    120,                0.49227,                0.24364,                0.84665,                0.99637,                0.96603,                0.99242,                0.86757,                0.62702,                0.26751,                0.88959,               0.006073,               0.006073,               0.006073
                    121,                0.49385,                0.24551,                0.84475,                 0.9959,                 0.9696,                0.99301,                0.86541,                0.62903,                0.26617,                0.89017,                0.00604,                0.00604,                0.00604
                    122,                0.49531,                0.24679,                0.85155,                0.99735,                0.96603,                 0.9926,                0.86453,                  0.632,                 0.2627,                 0.8912,               0.006007,               0.006007,               0.006007
                    123,                0.49594,                0.24697,                0.85167,                 0.9905,                0.97403,                0.99277,                0.86587,                0.62926,                0.26079,                0.89043,               0.005974,               0.005974,               0.005974
                    124,                0.49521,                0.24926,                0.85309,                0.99406,                0.97502,                0.99337,                0.86756,                0.62756,                0.25813,                0.88973,               0.005941,               0.005941,               0.005941
                    125,                 0.4903,                0.24534,                0.85075,                0.99756,                0.96903,                0.99309,                0.86834,                0.62875,                0.26147,                0.89108,               0.005908,               0.005908,               0.005908
                    126,                0.49092,                0.24514,                0.85268,                0.99779,                0.96404,                0.99258,                0.86667,                0.63212,                0.26475,                 0.8954,               0.005875,               0.005875,               0.005875
                    127,                0.49666,                0.24892,                0.85707,                0.99585,                0.95976,                  0.992,                 0.8664,                0.62539,                0.27033,                0.89672,               0.005842,               0.005842,               0.005842
                    128,                0.49545,                  0.247,                0.85174,                0.99586,                0.96037,                0.99189,                0.86535,                0.62074,                0.26916,                0.89611,               0.005809,               0.005809,               0.005809
                    129,                0.49117,                0.24447,                 0.8511,                0.99595,                0.95904,                0.99098,                0.86616,                0.61635,                0.27078,                0.89544,               0.005776,               0.005776,               0.005776
                    130,                0.49175,                0.24551,                0.84659,                0.99397,                0.96004,                0.98961,                0.86777,                0.61666,                0.27215,                0.89491,               0.005743,               0.005743,               0.005743
                    131,                0.49072,                0.24472,                0.85541,                0.99369,                0.95804,                0.98981,                0.86674,                0.61769,                0.27906,                0.89678,                0.00571,                0.00571,                0.00571
